region_code,council_code,name_sw,name_en,council_type
KIGOMA,KIGOMA_KIGOMA_MC,Halmashauri ya Manispaa ya Kigoma,Kigoma Municipal Council,MUNICIPAL
KIGOMA,KIGOMA_UVINZA_DC,Halmashauri ya Wilaya ya Uvinza,Uvinza District Council,DISTRICT
KIGOMA,KIGOMA_BUHINGWE_DC,Halmashauri ya Wilaya ya Buhingwe,Buhingwe District Council,DISTRICT
KIGOMA,KIGOMA_KAKONKO_DC,Halmashauri ya Wilaya ya Kakonko,Kakonko District Council,DISTRICT
SHINYANGA,SHINYANGA_USHETU_DC,Halmashauri ya Wilaya ya Ushetu,Ushetu District Council,DISTRICT
SHINYANGA,SHINYANGA_KAHAMA_MC,Halmashauri ya Manispaa ya Kahama,Kahama Municipal Council,MUNICIPAL
SHINYANGA,SHINYANGA_MSALALA_DC,Halmashauri ya Wilaya ya Msalala,Msalala District Council,DISTRICT
SHINYANGA,SHINYANGA_KISHAPU_DC,Halmashauri ya Wilaya ya Kishapu,Kishapu District Council,DISTRICT
SHINYANGA,SHINYANGA_SHINYANGA_DC,Halmashauri ya Wilaya ya Shinyanga,Shinyanga District Council,DISTRICT
SHINYANGA,SHINYANGA_SHINYANGA_MC,Halmashauri ya Manispaa ya Shinyanga,Shinyanga Municipal Council,MUNICIPAL
KAGERA,KAGERA_KARAGWE_DC,Halmashauri ya Wilaya ya Karagwe,Karagwe District Council,DISTRICT
KAGERA,KAGERA_BUKOBA_DC,Halmashauri ya Wilaya ya Bukoba,Bukoba District Council,DISTRICT
KAGERA,KAGERA_BUKOBA_MC,Halmashauri ya Manispaa ya Bukoba,Bukoba Municipal Council,MUNICIPAL
KAGERA,KAGERA_MULEBA_DC,Halmashauri ya Wilaya ya Muleba,Muleba District Council,DISTRICT
KAGERA,KAGERA_BIHARAMULO_DC,Halmashauri ya Wilaya ya Biharamulo,Biharamulo District Council,DISTRICT
KAGERA,KAGERA_NGARA_DC,Halmashauri ya Wilaya ya Ngara,Ngara District Council,DISTRICT
KAGERA,KAGERA_KYERWA_DC,Halmashauri ya Wilaya ya Kyerwa,Kyerwa District Council,DISTRICT
KAGERA,KAGERA_MISSENYI_DC,Halmashauri ya Wilaya ya Missenyi,Missenyi District Council,DISTRICT
MWANZA,MWANZA_UKEREWE_DC,Halmashauri ya Wilaya ya Ukerewe,Ukerewe District Council,DISTRICT
MWANZA,MWANZA_MAGU_DC,Halmashauri ya Wilaya ya Magu,Magu District Council,DISTRICT
MWANZA,MWANZA_MWANZA_CC,Halmashauri ya Jiji la Mwanza,Mwanza City Council,CITY
MWANZA,MWANZA_KWIMBA_DC,Halmashauri ya Wilaya ya Kwimba,Kwimba District Council,DISTRICT
MWANZA,MWANZA_SENGEREMA_DC,Halmashauri ya Wilaya ya Sengerema,Sengerema District Council,DISTRICT
MWANZA,MWANZA_BUCHOSA_DC,Halmashauri ya Wilaya ya Buchosa,Buchosa District Council,DISTRICT
MWANZA,MWANZA_ILEMELA_MC,Halmashauri ya Manispaa ya Ilemela,Ilemela Municipal Council,MUNICIPAL
MWANZA,MWANZA_MISUNGWI_DC,Halmashauri ya Wilaya ya Misungwi,Misungwi District Council,DISTRICT
MARA,MARA_TARIME_DC,Halmashauri ya Wilaya ya Tarime,Tarime District Council,DISTRICT
MARA,MARA_TARIME_TC,Halmashauri ya Mji wa Tarime,Tarime Town Council,TOWN
MARA,MARA_SERENGETI_DC,Halmashauri ya Wilaya ya Serengeti,Serengeti District Council,DISTRICT
